0
Asia-Pacific Journal of Financial Studies 
Asia-Pacific Journal of Financial Studies
회계정보연구
회계학연구 
Journal of Financial Economics
Journal of Finance
Pacific-Basin Finance Journal
Journal of Financial and Quantitative Analysis
Journal of Financial Research
Accounting and Business Research
China Economic Review
Journal of Banking and Finance
Econometrica
Review of Financial Studies
Review of Quantitative Finance and Accounting
Biometrika
Journal of Econometrics
American Economic Review
Quarterly Journal of Economics
Oxford University Press
Princeton University Press
MIT Press
Journal of Economic Dynamics and Control
Review of Economics and Statistics
Journal of Economic Theory
Applied Mathematical Finance
Journal of Accounting Research
The Accounting Review
Journal of Corporate Finance
Review of Accounting Studies
Journal of Accounting and Economics
Accounting Horizons
Contemporary Accounting Research 
Accounting Research
Reviews of Accounting Studies
John Wiley & Sons LTD
Journal of Financial Intermediation
Journal of Business
Financial Management
Chapman and Hall
The MIT Press
Journal of the American Statistical Association
Cambridge Publications MIT Press
Journal of Financial Markets
RTA/BCS Modular Languages Newsletter
Journal of Financial economics
The Financial Review
Journal of financial Economics
Empirical Economics
Institutions and Instruments
Journal of Empirical Finance
The Quarterly Journal of Economics
Financial Analyst Journal
Financial Analysts Journal
Journal of Portfolio Management
Journal of Business Finance and Accounting
The Journal of Finance
Journal of Business and Economic Statistics
The Journal of Financial Research
Journal of Financial Market
Review of Economic Studies
The Journal of. Portfolio Management
Applied Economics
Harper Business USA
 International Conference on Policy Modeling Istanbul
The Review of Financial Studies
Ecomometrica
National Tax Journal
The Korean Journal of Finance
Journal of Economic Perspectives 
Journal of Political Economy
Review of Finacne
American Economics Review
Proceedings of the  Winter Simulation Conference
Mathematical Finance
증권학회지 
Financial Review
Review of Financial Review
재무연구 
선물연구 
재무관리논총
재무연구
경영학연구 
재무관리연구 
금융안정연구 
Journal of Applied Corporate Finance
Theoretical inquiries in Law
Dover Publications
Harvard Business School Press
Proceedings of the th Annual Hawaii International Conference
Journal of Management Information Systems
Information Systems Research
MIS Quarterly
Research Technology Management
Quantitative Finance
Journal of Derivatives
Insurance: Mathematics and Economics
Journal of computational Finance
Computers and Operations Research
Information Technology Management
California Management Review
presented at the th annual conference on real options
Dartmouth College
Cambridge University Press
 Elsevier Science
The Engineering Economist 
Harvard Business Review
Academy of Management Review
The Engineering Economist
Review of Derivatives Research
The Quarterly Review of Economics and Finance
Kukje Kyungje Yongu Korean
Management Science
Risk Books
ANZIAM J
Transactions of the Society of Actuaries
Contemporary Accounting Research
Korean Ac counting Review
New York NY McGraw-Hill
Journal of Financial and Quantitative Analysis 
Journal of Accounting Research 
The Journal of Finance 
Irwin Homewood IL.
Korean Management Review 
Advances in Quantitative Analysis of Finance and Accounting 
Korean Accounting Review 
The Journal of Accounting and Economics
The Accounting Review 
Accounting Horizon 
Bell Journal of Economics
Korea Securities Depository
Accounting Information Review
Korean Securities Association
Journal of Business Research 
European Financial Management
Journal of Futures Markets
Finance and Trade
Review of Futures Markets
Applied Financial Economics
International Journal of Theoretical and Applied Finance
International Review of Economics and Finance
Review of Pacific Basin Financial Markets and Policies
Journal of Financial Services Research
John Wiley and Sons Ltd
Quarterly Journal of Business and Economics
Science
International Journal of Management
Journal of Insurance Regulation 
Journal of Fixed Income 
Journal of Risk and Insurance 
Springer Verlag
Mathematical Finance 
Insurance: Mathematics and Economics 
회계저널 
기업지배구조 평가결과 활용방안 심포지엄
년도 한국회계학회 하계학술발표대회
Journal of Corporate Law
Journal of Law Economics and Organization 
Academy of Management Journal 
European Financial Management 
Quarterly Journal of Economics 
Duke University and University of Washington
Journal of Financial Economics 
증권학회지
Management 
Marcel Dekker Inc
Pearson Education International
North-Holland
John Wiley
서울대학교 출판부
American Economic Review Papers and Proceedings
Journal of Finance and Quantitative Analysis
International Review of Financial Analysis
Risk
Saloman Brothers
Journal of Financial Studies
European Journal of Finance
The Korean Journal of Financial Studies 
금융학회지 
선물연구
금융연구 
John Wiley and Sons
Journal of Applied Econometrics
Journal of Risk Finance
International Economic Review
FRBNY Economic Policy Review
McGraw-Hill
Journal of International Money and Finance
Journal of Forecasting
Corporate Governance 
Accounting Review
Journal of Law and Economics
Korean Accounting Review
Corporate Ownership around the World Journal of Finance
Accountancy
Journal of Accounting and Public Policy
Econometirca
Journal of Financial Economic
Oxford
Journal of Economic perspectives 
International Journal of Game Theory
Journal of Political Economy 
Rand Journal of Economics
International Journal of Forecasting
RAND Journal of Economics
-Pacific Journal of Financial Studies
회계연구 
Accounting Horizon
American Economic Review 
American Eco nomic Review
Review of Economics Studies
Review of Economic studies
Brookings Papers on Economic Activity
Journal of finance
Harcourt Brace
Korean Management Review
Journal of the American Taxation Association
Prentice-Hall
Harvard University Press
Strategic Management Journal
Journal of Economics and Management Strategy
Journal of Mathematical Economics
St. John’s Review
대한경영학회지 
Statistical Science
Wiley
American Economic Review Papers and Proceeding
Journal of Risk and Insurance
Stata Technical Bulletin
and Quantitative Analysis
Sigma
Journal of Accounting Auditing and Finance
한국증권학회지 
산업경제연구 
국제지역연구 
Review of Finance
East Asian Economic Review 
경제학연구 
International Economic Review 
Journal of Econometrics 
Journal of Financial Econometrics 
Economics Letters 
Nature 
자산운용 연구
박영사
한국증권학회지
Financial Analysts Journal 
Journal of Finance 
